"TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","COLUMN_TYPE","COLUMN_KEY"
_schema_data_version,installed_rank,1,,NO,int,int,PRI
_schema_data_version,version,2,,YES,varchar,varchar(50),""
_schema_data_version,description,3,,NO,varchar,varchar(200),""
_schema_data_version,type,4,,NO,varchar,varchar(20),""
_schema_data_version,script,5,,NO,varchar,varchar(1000),""
_schema_data_version,checksum,6,,YES,int,int,""
_schema_data_version,installed_by,7,,NO,varchar,varchar(100),""
_schema_data_version,installed_on,8,CURRENT_TIMESTAMP,NO,timestamp,timestamp,""
_schema_data_version,execution_time,9,,NO,int,int,""
_schema_data_version,success,10,,NO,tinyint,tinyint(1),MUL
chkpoint,id,1,,NO,varchar,varchar(100),PRI
chkpoint,sourceposition,2,,YES,blob,blob,""
chkpoint,pendingddl,3,,YES,bit,bit(1),""
chkpoint,ddl,4,,YES,longtext,longtext,""
clinicalaccumsharingerradtdtl,auditDetailID,1,"0",NO,bigint,bigint,PRI
clinicalaccumsharingerradtdtl,clinicalAccumSharingErrorID,2,,YES,bigint,bigint,MUL
clinicalaccumsharingerradtdtl,umExternalID,3,,YES,varchar,varchar(80),""
clinicalaccumsharingerradtdtl,createDateTime,4,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),""
clinicalaccumsharingerradtdtl,createUserID,5,,YES,varchar,varchar(20),""
clinicalaccumsharingerradtdtl,changeDateTime,6,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),MUL
clinicalaccumsharingerradtdtl,changeUserID,7,,YES,varchar,varchar(20),""
clinicalaccumsharingerradtdtl,updateVersion,8,,YES,int,int,""
clinicalaccumsharingerradtdtl,auditText,9,,YES,varchar,varchar(4000),""
clinicalaccumsharingerradtdtl,tableName,10,,YES,varchar,varchar(32),""
clinicalaccumsharingerror,clinicalAccumSharingErrorID,1,"0",NO,bigint,bigint,PRI
clinicalaccumsharingerror,umReferralID,2,,YES,bigint,bigint,""
clinicalaccumsharingerror,umExternalID,3,,YES,varchar,varchar(80),""
clinicalaccumsharingerror,externalSourceID,4,,YES,varchar,varchar(80),""
clinicalaccumsharingerror,externalClaimID,5,,YES,varchar,varchar(55),""
clinicalaccumsharingerror,approvedUnitCount,6,,YES,int,int,""
