"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
enrollattribderivrule,enrollAttribDerivSchedDetailID,nrllttrbDrvRl_nrllttrbDrvSchdDtl1,enrollattribderivscheddetail,enrollAttribDerivSchedDetailID
enrollattribderivrule,enrollAttribDerivSchedVersionID,nrllttrbDrvRl_nrllttrbDrvSchdDtl1,enrollattribderivscheddetail,enrollAttribDerivSchedVersionID
enrollattribderivruleextident,enrollAttribDerivRuleID,nrllttrbDrvRlxtdnt_nrllttrbDrvRl1,enrollattribderivrule,enrollAttribDerivRuleID
enrollattribderivruleextident,enrollAttribDerivSchedDetailID,nrllttrbDrvRlxtdnt_nrllttrbDrvRl1,enrollattribderivrule,enrollAttribDerivSchedDetailID
enrollattribderivruleextident,enrollAttribDerivSchedVersionID,nrllttrbDrvRlxtdnt_nrllttrbDrvRl1,enrollattribderivrule,enrollAttribDerivSchedVersionID
enrollattribderivrulefileident,enrollAttribDerivRuleID,nrllttrbDrvRlFldnt_nrllttrbDrvRl1,enrollattribderivrule,enrollAttribDerivRuleID
enrollattribderivrulefileident,enrollAttribDerivSchedDetailID,nrllttrbDrvRlFldnt_nrllttrbDrvRl1,enrollattribderivrule,enrollAttribDerivSchedDetailID
enrollattribderivrulefileident,enrollAttribDerivSchedVersionID,nrllttrbDrvRlFldnt_nrllttrbDrvRl1,enrollattribderivrule,enrollAttribDerivSchedVersionID
enrollattribderivruleoptassign,enrollAttribDerivRuleID,nrllttrbDrvRlptssgn_nrllttrbDrvRl1,enrollattribderivrule,enrollAttribDerivRuleID
enrollattribderivruleoptassign,enrollAttribDerivSchedDetailID,nrllttrbDrvRlptssgn_nrllttrbDrvRl1,enrollattribderivrule,enrollAttribDerivSchedDetailID
enrollattribderivruleoptassign,enrollAttribDerivSchedVersionID,nrllttrbDrvRlptssgn_nrllttrbDrvRl1,enrollattribderivrule,enrollAttribDerivSchedVersionID
enrollattribderivscheddetail,enrollAttribDerivSchedVersionID,nrllttrbDrvSchdDtl_nrllttrbDrvSchd1,enrollattribderivsched,enrollAttribDerivSchedVersionID
enrollattribderivschednote,enrollAttribDerivSchedVersionID,nrllttrbDrvSchdNt_nrllttrbDrvSchd1,enrollattribderivsched,enrollAttribDerivSchedVersionID
enrollmemapplcriteria,enrollMemApplSchedDetailID,nrllMmpplCrtr_nrllMmpplSchdDtl1,enrollmemapplscheddetail,enrollMemApplSchedDetailID
enrollmemapplcriteria,enrollMemApplSchedVersionID,nrllMmpplCrtr_nrllMmpplSchd1,enrollmemapplsched,enrollMemApplSchedVersionID
