"TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","COLUMN_TYPE","COLUMN_KEY"
_schema_data_version,installed_rank,1,,NO,int,int,PRI
_schema_data_version,version,2,,YES,varchar,varchar(50),""
_schema_data_version,description,3,,NO,varchar,varchar(200),""
_schema_data_version,type,4,,NO,varchar,varchar(20),""
_schema_data_version,script,5,,NO,varchar,varchar(1000),""
_schema_data_version,checksum,6,,YES,int,int,""
_schema_data_version,installed_by,7,,NO,varchar,varchar(100),""
_schema_data_version,installed_on,8,CURRENT_TIMESTAMP,NO,timestamp,timestamp,""
_schema_data_version,execution_time,9,,NO,int,int,""
_schema_data_version,success,10,,NO,tinyint,tinyint(1),MUL
_tmpmemgroupextractinclude,memGroupID,1,"0",NO,bigint,bigint,PRI
_tmpmemgroupextractinclude,changeDateTime,2,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),MUL
_tmpmemgroupextractinclude,changeUserID,3,,YES,varchar,varchar(20),""
activemgcaffiloptview,memGroupID,1,,YES,bigint,bigint,""
activemgcaffiloptview,memGroupContractID,2,,YES,bigint,bigint,""
activemgcaffiloptview,memGroupContractOptID,3,,YES,bigint,bigint,""
activemgcaffiloptview,memGroupContractAffilOptID,4,,NO,bigint,bigint,""
activemgcaffiloptview,lastRetroTagDate,5,,YES,date,date,""
aslactivememgrpcontractoptview,memGroupContractOptID,1,"0",NO,bigint,bigint,""
billgroup,billGroupID,1,,NO,bigint,bigint,PRI
billgroup,memGroupID,2,,YES,bigint,bigint,MUL
billgroup,description,3,,YES,varchar,varchar(2000),""
billgroup,deleteInd,4,,YES,smallint,smallint,""
billgroup,billGroupReferenceID,5,,YES,bigint,bigint,MUL
billgroup,changeDateTime,6,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),MUL
billgroup,changeUserID,7,,YES,varchar,varchar(20),""
billgroup,createDateTime,8,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),""
billgroup,createUserID,9,,YES,varchar,varchar(20),""
billgroup,updateVersion,10,,YES,int,int,""
billgroupauditdetail,auditDetailID,1,,NO,bigint,bigint,PRI
billgroupauditdetail,auditText,2,,YES,varchar,varchar(4000),""
billgroupauditdetail,billGroupID,3,,YES,bigint,bigint,""
