"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
billgroupdtl,billGroupID,bllGrpDtl_bllGrp1,billgroup,billGroupID
billgroupdtlcontractopttype,billGroupDtlID,bllGrpDtlCntrctptTyp_bllGrpDtl1,billgroupdtl,billGroupDtlID
billgroupdtlinv,billGroupDtlID,bllGrpDtlnv_bllGrpDtl1,billgroupdtl,billGroupDtlID
billgroupdtlinv,billGroupID,bllGrpDtlnv_bllGrp1,billgroup,billGroupID
billgroupdtlinvbillitem,billGroupDtlID,bllGrpDtlnvBlltm_bllGrpDtl1,billgroupdtl,billGroupDtlID
billgroupdtlinvbillitem,billGroupDtlInvID,bllGrpDtlnvBlltm_bllGrpDtlnv1,billgroupdtlinv,billGroupDtlInvID
billgroupdtlinvbillitem,billGroupID,bllGrpDtlnvBlltm_bllGrp1,billgroup,billGroupID
billgroupdtlinvsetting,billGroupDtlID,bllGrpDtlnvSttng_bllGrpDtl1,billgroupdtl,billGroupDtlID
billgroupdtlinvsetting,billGroupDtlInvID,bllGrpDtlnvSttng_bllGrpDtlnv1,billgroupdtlinv,billGroupDtlInvID
billgroupdtlinvsetting,billGroupID,bllGrpDtlnvSttng_bllGrp1,billgroup,billGroupID
billgroupdtlinvsettingsort,billGroupDtlID,bllGrpDtlnvSttngSrt_bllGrpDtl1,billgroupdtl,billGroupDtlID
billgroupdtlinvsettingsort,billGroupDtlInvID,bllGrpDtlnvSttngSrt_bllGrpDtlnv1,billgroupdtlinv,billGroupDtlInvID
billgroupdtlinvsettingsort,billGroupDtlInvSettingID,bllGrpDtlnvSttngSrt_bllGrpDtlnvSttng1,billgroupdtlinvsetting,billGroupDtlInvSettingID
billgroupdtlinvsettingsort,billGroupID,bllGrpDtlnvSttngSrt_bllGrp1,billgroup,billGroupID
billgroupdtlinvsettingsummary,billGroupDtlID,bllGrpDtlnvSttngSmmry_bllGrpDtl1,billgroupdtl,billGroupDtlID
billgroupdtlinvsettingsummary,billGroupDtlInvID,bllGrpDtlnvSttngSmmry_bllGrpDtlnv1,billgroupdtlinv,billGroupDtlInvID
billgroupdtlinvsettingsummary,billGroupDtlInvSettingID,bllGrpDtlnvSttngSmmry_bllGrpDtlnvSttng1,billgroupdtlinvsetting,billGroupDtlInvSettingID
