"TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","COLUMN_TYPE","COLUMN_KEY"
_schema_data_version,installed_rank,1,,NO,int,int,PRI
_schema_data_version,version,2,,YES,varchar,varchar(50),""
_schema_data_version,description,3,,NO,varchar,varchar(200),""
_schema_data_version,type,4,,NO,varchar,varchar(20),""
_schema_data_version,script,5,,NO,varchar,varchar(1000),""
_schema_data_version,checksum,6,,YES,int,int,""
_schema_data_version,installed_by,7,,NO,varchar,varchar(100),""
_schema_data_version,installed_on,8,CURRENT_TIMESTAMP,NO,timestamp,timestamp,""
_schema_data_version,execution_time,9,,NO,int,int,""
_schema_data_version,success,10,,NO,tinyint,tinyint(1),MUL
_tmpbenecodefilter,category,1,,NO,varchar,varchar(60),PRI
_tmpbenecodefilter,benefitCode,2,,NO,varchar,varchar(60),PRI
_tmpbenecodeservicetypecode,benefitPlanVersionID,1,"0",NO,bigint,bigint,PRI
_tmpbenecodeservicetypecode,benefitCode,2,,NO,varchar,varchar(60),PRI
_tmpbenecodeservicetypecode,tierNumber,3,"0",NO,int,int,PRI
_tmpbenecodeservicetypecode,codeLevel,4,"0",NO,smallint,smallint,PRI
_tmpbenecodeservicetypecode,version,5,"0",NO,smallint,smallint,PRI
_tmpbenecodeservicetypecode,serviceTypeCode,6,,NO,varchar,varchar(4),PRI
_tmpbenecodeservicetypecode,changeDateTime,7,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),MUL
_tmpbenecodeservicetypecode,changeUserID,8,,YES,varchar,varchar(20),""
_tmpbenecodeservicetypecode,createDateTime,9,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),""
_tmpbenecodeservicetypecode,createUserID,10,,YES,varchar,varchar(20),""
_tmpbenecodeservicetypecode,updateVersion,11,,YES,int,int,""
_tmpmav3invaliddtlv3log,id,1,,NO,bigint,bigint,PRI
_tmpmav3invaliddtlv3log,dtlV3ID,2,,YES,bigint,bigint,MUL
_tmpmav3invaliddtlv3log,invalidationRunV3ID,3,,YES,bigint,bigint,MUL
_tmpmav3invaliddtlv3log,createDateTime,4,CURRENT_TIMESTAMP,YES,datetime,datetime,MUL
_tmpmav3invaliditemv3log,id,1,,NO,bigint,bigint,PRI
