"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
adjscheditpendtempconfig,adjudSchedEditID,djSchdtPndTmpCnfg_djdSchddt1,adjudschededit,adjudSchedEditID
adjscheditpendtempconfig,adjudSchedPendTemplateID,djSchdtPndTmpCnfg_djdSchddtPndTmplt1,adjudschededitpendtemplate,adjudSchedPendTemplateID
adjscheditpendtempconfig,adjudScheduleID,djSchdtPndTmpCnfg_djdSchdHdr1,adjudschedheader,adjudScheduleID
adjscheditpendtempconfigstate,adjSchEditPendTempConfigID,djSchdtPndTmpCnfgStt_djSchdtPndTmpCnfg1,adjscheditpendtempconfig,adjSchEditPendTempConfigID
adjscheditpendtempconfigstate,adjudSchedEditID,djSchdtPndTmpCnfgStt_djdSchddt1,adjudschededit,adjudSchedEditID
adjscheditpendtempconfigstate,adjudSchedPendTemplateID,djSchdtPndTmpCnfgStt_djdSchddtPndTmplt1,adjudschededitpendtemplate,adjudSchedPendTemplateID
adjscheditpendtempconfigstate,adjudScheduleID,djSchdtPndTmpCnfgStt_djdSchdHdr1,adjudschedheader,adjudScheduleID
adjscheditpendtempconfigvc,adjSchEditPendTempConfigID,djSchdtPndTmpCnfgVC_djSchdtPndTmpCnfg1,adjscheditpendtempconfig,adjSchEditPendTempConfigID
adjscheditpendtempconfigvc,adjudSchedEditID,djSchdtPndTmpCnfgVC_djdSchddt1,adjudschededit,adjudSchedEditID
adjscheditpendtempconfigvc,adjudSchedPendTemplateID,djSchdtPndTmpCnfgVC_djdSchddtPndTmplt1,adjudschededitpendtemplate,adjudSchedPendTemplateID
adjscheditpendtempconfigvc,adjudScheduleID,djSchdtPndTmpCnfgVC_djdSchdHdr1,adjudschedheader,adjudScheduleID
adjudschededit,adjudScheduleID,djdSchddt_djdSchdHdr1,adjudschedheader,adjudScheduleID
adjudschededitcancelreasoncode,adjudSchedEditID,djdSchddtCnclRsnCd_djdSchddt1,adjudschededit,adjudSchedEditID
adjudschededitdenycode,adjudSchedEditID,djdSchddtDnyCd_djdSchddt1,adjudschededit,adjudSchedEditID
adjudschededithold,adjudSchedEditID,djdSchddtHld_djdSchddt1,adjudschededit,adjudSchedEditID
adjudschededitoverridecode,adjudSchedEditID,djdSchddtvrrdCd_djdSchddt1,adjudschededit,adjudSchedEditID
adjudschededitpendtemplate,adjudSchedEditID,djdSchddtPndTmplt_djdSchddt1,adjudschededit,adjudSchedEditID
adjudschededitprocedure,adjudSchedEditID,djdSchddtPrcdr_djdSchddt1,adjudschededit,adjudSchedEditID
adjudschededitrejscenariocode,adjudSchedEditID,djdSchddtRjScnrCd_djdSchddt1,adjudschededit,adjudSchedEditID
adjudschededitroutecode,adjudSchedEditID,djdSchddtRtCd_djdSchddt1,adjudschededit,adjudSchedEditID
adjudschededittradingpartner,adjudSchedEditID,djdSchddtTrdngPrtnr_djdSchddt1,adjudschededit,adjudSchedEditID
adjudschededittradingpartner,adjudScheduleID,djdSchddtTrdngPrtnr_djdSchdHdr1,adjudschedheader,adjudScheduleID
adjudschededittradingpartner,tradingPartnerProfileID,djdSchddtTrdngPrtnr_trdngPrtnrPrfl1,tradingpartnerprofile,tradingPartnerProfileID
adjudschedenceditsettings,adjudScheduleID,djdSchdncdtSttngs_djdSchdHdr1,adjudschedheader,adjudScheduleID
adjudschedencrejscenariocode,adjudSchedEncEditSettingsID,djdSchdncRjScnrCd_djdSchdncdtSttngs1,adjudschedenceditsettings,adjudSchedEncEditSettingsID
adjudschedencroutecode,adjudSchedEncEditSettingsID,djdSchdncRtCd_djdSchdncdtSttngs1,adjudschedenceditsettings,adjudSchedEncEditSettingsID
