"TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","COLUMN_TYPE","COLUMN_KEY"
__tmpislaccumids,id,1,,YES,bigint,bigint,""
__tmpislaccumids,createDateTime,2,CURRENT_TIMESTAMP,YES,datetime,datetime,""
__tmpisllogicaldelzeroaccumremediatelogging,id,1,,NO,bigint,bigint,PRI
__tmpisllogicaldelzeroaccumremediatelogging,procedureName,2,,YES,varchar,varchar(255),MUL
__tmpisllogicaldelzeroaccumremediatelogging,procedurePart,3,MAIN,YES,varchar,varchar(50),""
__tmpisllogicaldelzeroaccumremediatelogging,note,4,,YES,varchar,varchar(255),""
__tmpisllogicaldelzeroaccumremediatelogging,createDateTime,5,CURRENT_TIMESTAMP,YES,datetime,datetime,MUL
_schema_data_version,installed_rank,1,,NO,int,int,PRI
_schema_data_version,version,2,,YES,varchar,varchar(50),""
_schema_data_version,description,3,,NO,varchar,varchar(200),""
_schema_data_version,type,4,,NO,varchar,varchar(20),""
_schema_data_version,script,5,,NO,varchar,varchar(1000),""
_schema_data_version,checksum,6,,YES,int,int,""
_schema_data_version,installed_by,7,,NO,varchar,varchar(100),""
_schema_data_version,installed_on,8,CURRENT_TIMESTAMP,NO,timestamp,timestamp,""
_schema_data_version,execution_time,9,,NO,int,int,""
_schema_data_version,success,10,,NO,tinyint,tinyint(1),MUL
_tmpaccumstoplossdedindivapplycleanuplogging,id,1,,NO,bigint,bigint,PRI
_tmpaccumstoplossdedindivapplycleanuplogging,procedureName,2,,YES,varchar,varchar(255),MUL
_tmpaccumstoplossdedindivapplycleanuplogging,procedurePart,3,MAIN,YES,varchar,varchar(50),""
_tmpaccumstoplossdedindivapplycleanuplogging,note,4,,YES,varchar,varchar(255),""
_tmpaccumstoplossdedindivapplycleanuplogging,createDateTime,5,CURRENT_TIMESTAMP,YES,datetime,datetime,MUL
_tmpaccumstoplossdedindivtodelete,id,1,,NO,bigint,bigint,PRI
_tmpaccumstoplossdedindivtodelete,accumStoplossID,2,,YES,bigint,bigint,MUL
_tmpaccumstoplossdedindivtodelete,deleteInd,3,"0",YES,smallint,smallint,MUL
_tmpaccumstoplossdedindivtodelete,createDateTime,4,CURRENT_TIMESTAMP,YES,datetime,datetime,MUL
_tmpriskpooltypecontrol,id,1,,NO,bigint,bigint,PRI
_tmpriskpooltypecontrol,controlValue,2,"0",YES,int,int,""
_tmpriskpooltypecontrol,createDateTime,3,CURRENT_TIMESTAMP,YES,datetime,datetime,MUL
accountspayable,accountsPayableID,1,,NO,bigint,bigint,PRI
accountspayable,transactionSource,2,,YES,varchar,varchar(5),""
accountspayable,transactionSourceID,3,,YES,bigint,bigint,""
accountspayable,manualInd,4,,YES,smallint,smallint,""
accountspayable,accountsPayableType,5,,YES,char,char(2),""
accountspayable,accountsPayableStatus,6,,YES,varchar,varchar(5),""
accountspayable,payerEntityType,7,,YES,char,char(2),""
accountspayable,payerEntityID,8,,YES,bigint,bigint,""
accountspayable,payeeEntityType,9,,YES,char,char(2),""
accountspayable,payeeEntityID,10,,YES,bigint,bigint,""
accountspayable,payeeEntityName,11,,YES,varchar,varchar(100),""
accountspayable,payeeEntityTIN,12,,YES,varchar,varchar(40),""
accountspayable,paymentDueDate,13,,YES,date,date,""
accountspayable,totalPayableAmt,14,,YES,decimal,"decimal(12,2)",""
accountspayable,previousAccountsPayableID,15,,YES,bigint,bigint,""
accountspayable,payeeAddressLine1,16,,YES,varchar,varchar(55),""
accountspayable,payeeAddressLine2,17,,YES,varchar,varchar(55),""
accountspayable,payeeCity,18,,YES,varchar,varchar(50),""
accountspayable,payeeState,19,,YES,char,char(2),""
accountspayable,payeeCountry,20,,YES,char,char(3),""
accountspayable,payeePostalCode,21,,YES,varchar,varchar(20),""
accountspayable,payeeAddressLine3,22,,YES,varchar,varchar(55),""
accountspayable,payeeAddressLine4,23,,YES,varchar,varchar(55),""
accountspayable,payeeAddressLine5,24,,YES,varchar,varchar(55),""
accountspayable,changeDateTime,25,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),MUL
accountspayable,changeUserID,26,,YES,varchar,varchar(20),""
accountspayable,createDateTime,27,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),""
accountspayable,createUserID,28,,YES,varchar,varchar(20),""
accountspayable,updateVersion,29,,YES,int,int,""
accountspayabledetail,accountsPayableDetailID,1,,NO,bigint,bigint,PRI
accountspayabledetail,accountsPayableID,2,,YES,bigint,bigint,MUL
accountspayabledetail,transactionDetailSource,3,,YES,varchar,varchar(2),""
accountspayabledetail,transactionDetailSourceID,4,,YES,bigint,bigint,""
accountspayabledetail,transactionDate,5,,YES,date,date,""
accountspayabledetail,payableAmt,6,,YES,decimal,"decimal(9,2)",""
accountspayabledetail,accountsPayableDetailType,7,,YES,varchar,varchar(2),""
accountspayabledetail,finAttribSetID,8,,YES,bigint,bigint,""
accountspayabledetail,changeDateTime,9,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),MUL
accountspayabledetail,changeUserID,10,,YES,varchar,varchar(20),""
accountspayabledetail,createDateTime,11,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),""
accountspayabledetail,createUserID,12,,YES,varchar,varchar(20),""
accountspayabledetail,updateVersion,13,,YES,int,int,""
accountspayableeventseqtrans,accountsPayableEventSeqTransID,1,,NO,bigint,bigint,PRI
accountspayableeventseqtrans,accountsPayableEventSequenceID,2,,YES,bigint,bigint,MUL
accountspayableeventseqtrans,transID,3,,YES,varchar,varchar(80),""
accountspayableeventseqtrans,payloadType,4,,YES,varchar,varchar(3),""
accountspayableeventseqtrans,payloadURL,5,,YES,varchar,varchar(200),""
accountspayableeventseqtrans,changeDateTime,6,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),MUL
accountspayableeventseqtrans,changeUserID,7,,YES,varchar,varchar(20),""
accountspayableeventseqtrans,createDateTime,8,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),""
accountspayableeventseqtrans,createUserID,9,,YES,varchar,varchar(20),""
accountspayableeventseqtrans,updateVersion,10,,YES,int,int,""
accountspayableeventseqtrans,accountsPayableID,11,,YES,bigint,bigint,MUL
accountspayableeventsequence,accountsPayableEventSequenceID,1,,NO,bigint,bigint,PRI
accountspayableeventsequence,accountsPayableID,2,,YES,bigint,bigint,MUL
accountspayableeventsequence,parentAccountsPayableEventSequenceID,3,,YES,bigint,bigint,""
accountspayableeventsequence,finEventSequenceNumber,4,,YES,smallint,smallint,""
accountspayableeventsequence,finEventType,5,,YES,varchar,varchar(3),""
accountspayableeventsequence,paymentRequestAcceptDateTime,6,,YES,timestamp,timestamp(3),""
accountspayableeventsequence,paymentRequestAcceptInd,7,,YES,smallint,smallint,""
accountspayableeventsequence,paymentRequestValidatedDatetime,8,,YES,timestamp,timestamp(3),""
accountspayableeventsequence,paymentRequestValidatedInd,9,,YES,smallint,smallint,""
accountspayableeventsequence,changeDateTime,10,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),MUL
accountspayableeventsequence,changeUserID,11,,YES,varchar,varchar(20),""
accountspayableeventsequence,createDateTime,12,"0000-00-00 00:00:00.000",NO,timestamp,timestamp(3),""
accountspayableeventsequence,createUserID,13,,YES,varchar,varchar(20),""
accountspayableeventsequence,updateVersion,14,,YES,int,int,""
accountspayablefeedback,accountsPayableFeedbackID,1,,NO,bigint,bigint,PRI
accountspayablefeedback,accountsPayableID,2,,YES,bigint,bigint,MUL
accountspayablefeedback,accountsPayableEventSequenceID,3,,YES,bigint,bigint,MUL
accountspayablefeedback,finEventType,4,,YES,varchar,varchar(3),""
accountspayablefeedback,checkID,5,,YES,varchar,varchar(15),""
accountspayablefeedback,checkNum,6,,YES,varchar,varchar(50),""
accountspayablefeedback,checkAmt,7,,YES,decimal,"decimal(12,2)",""
accountspayablefeedback,paidAmt,8,,YES,decimal,"decimal(11,2)",""
accountspayablefeedback,paymentDate,9,,YES,date,date,""
accountspayablefeedback,paymentFeedbackStatus,10,,YES,varchar,varchar(2),""
accountspayablefeedback,checkVoidDate,11,,YES,date,date,""
accountspayablefeedback,createDate,12,,YES,date,date,""
