"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
accountspayabledetail,accountsPayableID,ccntsPyblDtl_ccntsPybl1,accountspayable,accountsPayableID
accountspayableeventseqtrans,accountsPayableEventSequenceID,ccntsPyblvntSqTrns_ccntsPyblvntSqnc1,accountspayableeventsequence,accountsPayableEventSequenceID
accountspayableeventseqtrans,accountsPayableID,ccntsPyblvntSqTrns_ccntsPybl1,accountspayable,accountsPayableID
accountspayableeventsequence,accountsPayableID,ccntsPyblvntSqnc_ccntsPybl1,accountspayable,accountsPayableID
accountspayablefeedback,accountsPayableEventSequenceID,ccntsPyblFdbck_ccntsPyblvntSqnc1,accountspayableeventsequence,accountsPayableEventSequenceID
accountspayablefeedback,accountsPayableID,ccntsPyblFdbck_ccntsPybl1,accountspayable,accountsPayableID
accountspayablenote,accountsPayableID,ccntsPyblNt_ccntsPybl1,accountspayable,accountsPayableID
accumapiservlogdetail,accumAPIServLogHeaderID,ccmPSrvLgDtl_ccmPSrvLgHdr1,accumapiservlogheader,accumAPIServLogHeaderID
accumbenecostsharedetail,accumBeneCostShareID,ccmBnCstShrDtl_ccmBnCstShr1,accumbenecostshare,accumBeneCostShareID
accumbenecostshareplan,accumBeneCostShareID,ccmBnCstShrPln_ccmBnCstShr1,accumbenecostshare,accumBeneCostShareID
accumbenecostshareplandetail,accumBeneCostSharePlanID,ccmBnCstShrPlnDtl_ccmBnCstShrPln1,accumbenecostshareplan,accumBeneCostSharePlanID
accumbenecostsharetenantlink,accumBeneCostShareID,ccmBnCstShrTnntLnk_ccmBnCstShr1,accumbenecostshare,accumBeneCostShareID
accumbenecostsharetx,accumBeneCostShareID,ccmBnCstShrTx_ccmBnCstShr1,accumbenecostshare,accumBeneCostShareID
accumbenecostsharetxdetail,accumBeneCostShareTxID,ccmBnCstShrTxDtl_ccmBnCstShrTx1,accumbenecostsharetx,accumBeneCostShareTxID
accumbenecostsharetxsuppress,accumBeneCostShareTxID,ccmBnCstShrTxSpprss_ccmBnCstShrTx1,accumbenecostsharetx,accumBeneCostShareTxID
accumbypassplan,accumBypassID,ccmBypssPln_ccmBypss1,accumbypass,accumBypassID
accumbypasstenantlink,accumBypassID,ccmBypssTnntLnk_ccmBypss1,accumbypass,accumBypassID
accumbypasstx,accumBypassID,ccmBypssTX_ccmBypss1,accumbypass,accumBypassID
accumbypasstxsuppress,accumBypassTXID,ccmBypssTXSpprss_ccmBypssTX1,accumbypasstx,accumBypassTXID
accumcobreservecheckreimbrecon,accumCOBReserveID,ccmCBRsrvChckRmbRcn_ccmCBRsrv1,accumcobreserve,accumCOBReserveID
accumcobreserveplan,accumCOBReserveID,ccmCBRsrvPln_ccmCBRsrv1,accumcobreserve,accumCOBReserveID
